Info_oficinas
En el bloque M2  en el piso 3  número 318  se encuentra el espacio Oficina Profesor - Santiago Alonso Cardona Gallo en el campus Robledo.
En el bloque M2  en el piso 3  número 319  se encuentra el espacio Oficina Profesor - Ramiro Vicente Marbello Pérez en el campus Robledo.
En el bloque M2  en el piso 3  número 320  se encuentra el espacio Oficina Profesor - José Fernando Jiménez Mejía en el campus Robledo.
En el bloque M2  en el piso 3  número 321  se encuentra el espacio Oficina Profesor - Andrés Ochoa Jaramillo en el campus Robledo.
En el bloque M2  en el piso 3  número 322  se encuentra el espacio Oficina Profesor - Luis Fernando Carvajal Serna en el campus Robledo.
En el bloque M2  en el piso 3  número 323  se encuentra el espacio Aula Especial en el campus Robledo.
En el bloque M2  en el piso 3  número 327  se encuentra el espacio Centro de Documentación en el campus Robledo.
En el bloque M1  en el piso 1  número 100  se encuentra el espacio Laboratorio de Estructuras en el campus Robledo.
En el bloque M1  en el piso 1  número 101  se encuentra el espacio Cisco - PVCT en el campus Robledo.
En el bloque M1  en el piso 1  número 107  se encuentra el espacio Laboratorio de Carbones - Coquización en el campus Robledo.
En el bloque M1  en el piso 1  número 108  se encuentra el espacio Laboratorio de Carbones - Planta de Lavado en el campus Robledo.
En el bloque M1  en el piso 1  número 109  se encuentra el espacio Centro Nacional de Geoestática en el campus Robledo.
En el bloque M1  en el piso 1  número 110  se encuentra el espacio Oficina Profesora - Margarita Rosa Gómez Betancur en el campus Robledo.
En el bloque M1  en el piso 1  número 113  se encuentra el espacio Lab. de Estructuras - Área de Ensayos y Semipilotes en el campus Robledo.
En el bloque M1  en el piso 1  número 114  se encuentra el espacio Oficina Profesor - John Jairo Posada Henao en el campus Robledo.
En el bloque M1  en el piso 1  número 115  se encuentra el espacio Oficina Profesor - Carlos Alberto Graciano Gallego en el campus Robledo.
En el bloque M1  en el piso 1  número 116  se encuentra el espacio Oficina Profesora - Lucía Salazar Estrada en el campus Robledo.
En el bloque M1  en el piso 1  número 117  se encuentra el espacio Oficina Profesor - Hernán Darío Caño Gómez en el campus Robledo.
En el bloque M1  en el piso 1  número 118  se encuentra el espacio Oficina Profesor - Víctor Gabriel Valencia Alix en el campus Robledo.
En el bloque M1  en el piso 1  número 119  se encuentra el espacio Oficina Profesor - José Darío Aristizábal Ochoa en el campus Robledo.
En el bloque M1  en el piso 1  número 120  se encuentra el espacio CAT Consultorio de Asesoría Técnica en el campus Robledo.
En el bloque M1  en el piso 1  número 121  se encuentra el espacio Oficina Profesor - David Guillermo Zapata Medina en el campus Robledo.
En el bloque M1  en el piso 1  número 122  se encuentra el espacio Aula Especial en el campus Robledo.
En el bloque M1  en el piso 1  número 123  se encuentra el espacio Oficina Profesor - Óscar Echeverri Ramírez en el campus Robledo.
En el bloque M1  en el piso 1  número 124  se encuentra el espacio Sala de Cómputo en el campus Robledo.
En el bloque M1  en el piso 2  número 201  se encuentra el espacio Escuela de Ingeniería Civil en el campus Robledo.
En el bloque M1  en el piso 2  número 202  se encuentra el espacio Local Comercial en el campus Robledo.
En el bloque M1  en el piso 2  número 203  se encuentra el espacio Laboratorio de Carbones - Petrografía en el campus Robledo.
En el bloque M1  en el piso 2  número 204  se encuentra el espacio Laboratorio de Carbones - Análisis Químico en el campus Robledo.
En el bloque M1  en el piso 2  número 205  se encuentra el espacio Laboratorio de Carbones - Análisis Tecnológico en el campus Robledo.
En el bloque M1  en el piso 2  número 210  se encuentra el espacio Laboratorio de Geología Física en el campus Robledo.
En el bloque M1  en el piso 2  número 211  se encuentra el espacio Estudiantes de Doctorado en el campus Robledo.
En el bloque M1  en el piso 2  número 212  se encuentra el espacio Aula Especial en el campus Robledo.
En el bloque M1  en el piso 2  número 213  se encuentra el espacio Sala de Cómputo en el campus Robledo.
En el bloque M1  en el piso 2  número 214  se encuentra el espacio Grupo de Investigación Estabilidad de Estructuras en el campus Robledo.
En el bloque M1  en el piso 2  número 218  se encuentra el espacio Oficina Profesores - Luis Garza Vásquez  Manuel Roberto Villarraga Herrera en el campus Robledo.
En el bloque M1  en el piso 2  número 219  se encuentra el espacio Sala de Maestría Infraestructura en el campus Robledo.
En el bloque M1  en el piso 2  número 220  se encuentra el espacio Aula Especial en el campus Robledo.
En el bloque M1  en el piso 2  número 221  se encuentra el espacio Oficina Profesora - Ángela Beatriz Mejía Gutiérrez en el campus Robledo.
En el bloque M1  en el piso 2  número 222  se encuentra el espacio Oficina Profesora - Claudia Jenny de la Cruz Morales en el campus Robledo.
En el bloque M1  en el piso 2  número 223  se encuentra el espacio Oficina Profesor - Iván Reinaldo Samireno Ordógoitia en el campus Robledo.
En el bloque M1  en el piso 2  número 224  se encuentra el espacio Oficina Profesor - Ramón Giraldo Bolívar en el campus Robledo.
En el bloque M1  en el piso 2  número 225  se encuentra el espacio Oficina Profesor - Julián Sánchez en el campus Robledo.
En el bloque M1  en el piso 2  número 226  se encuentra el espacio Oficina Profesor - Luis Hernán Zapata Ocampo en el campus Robledo.
En el bloque M1  en el piso 2  número 227  se encuentra el espacio Oficina Profesor - Jorge Eliecer Córdoba Maquilón en el campus Robledo.
En el bloque M1  en el piso 2  número 228  se encuentra el espacio Oficina Profesor - John Jairo Blandón Valencia en el campus Robledo.
En el bloque M1  en el piso 2  número 229  se encuentra el espacio Oficina Profesor - Miguel Ángel Sierra Beana en el campus Robledo.
