Codigo de asignatura,Nombre de asignatura,Numero de creditos
3007163,partidos politicos y sistemas electorales,3
3007164,politica comparada,3
3009569,politica exterior colombiana,3
3010112,relaciones internacionales i,3
3007170,relaciones internacionales ii,3
3007331,simulacion de sistemas,3
3007171,sistema politico colombiano,3
3007174,teoria del estado,3
3007175,teoria e historia constitucional,3
3011221,teorias de la sociedad y la cultura iii,3
3009482,teorias del poder,3
3007180,trabajo de grado,10
3007182,comercio mundial,3
3007183,desarrollo economico,4
3009699,dinamica economica,4
3009948,econometria i,4
3009947,econometria ii,4
3007189,economia colombiana,4
3007193,economia matematica,3
3007196,economia politica ii,4
3007197,economia publica,4
3007200,evaluacion economica de proyectos,4
3007204,historia economica de colombia,3
3009791,introduccion a las finanzas,3
3009951,macroeconomia i,4
3007208,macroeconomia ii,4
3007209,macroeconomia iii,4
3007210,medicion economica,3
3009743,microeconomia i,4
3009953,microeconomia ii,4
3009952,microeconomia iii,4
3009954,seminario de investigacion,4
3007219,teorias del comercio internacional,4
3007221,trabajo de grado,6
3009972,valoracion economica de bienes de no mercado,3
3007281,cursos de posgrado,10
3010890,el texto historico: lectura y escritura,2
3007251,historia de colombia i,4
3007252,historia de colombia ii,5
3007253,historia de colombia iii,5
3007254,historia de colombia iv,5
3007255,historia de colombia v,5
3007249,historia del siglo xix,3
3007259,lenguaje e interpretacion,3
3007262,paleografia y diplomatica,3
3007273,taller del historiador,2
3007277,teorias de la historia e historiografia i,3
3007369,teorias de la historia e historiografia ii,3
3007278,teorias de la historia e historiografia iii,3
3007279,teorias de la historia e historiografia iv,3
3009492,teorias de la sociedad y la cultura ii,3
3007280,trabajo de grado,10
3008491,teorias ii,5
3010396,administracion estrategica,3
3010507,contabilidad general y de costos,4
3007307,cursos de posgrado,6
3010651,estadistica i,3
3010674,estrategias de gestion y gerencia de proyectos en ingenieria,3
3010407,estructuracion y evaluacion de proyectos de ingenieria,3
3011020,fundamentos de analitica,3
3010408,fundamentos de proyectos en ingenieria,3
3011166,fundamentos de sistemas de informacion e inteligencia de negocios,3
3010525,futuros y opciones,3
3010410,gestion de procesos,3
3010411,innovacion y gestion tecnologica,3
3011283,introduccion a la gestion de riesgos financieros,3
3011198,introduccion a la ingenieria administrativa,2
3010415,introduccion al analisis de decisiones,3
3007323,investigacion de mercados,3
3007325,investigacion de operaciones ii,3
3010517,marketing digital,3
3010518,matematicas financieras,3
3010519,mercadeo internacional,3
3007305,modelos de valoracion de empresas,3
3010677,practica de extension,6
3010439,proyecto integrado de ingenieria,4
3010423,sistemas de compensacion,2
3007304,teoria de portafolios,3
3007306,trabajo de grado,6
3007371,acueductos y alcantarillados,3
3010454,ambiente urbano,3
3009004,biogeoquimica,3
3009417,biologia evolutiva,3
3010455,contaminacion ambiental,4
3009024,cultura y medio ambiente,3
3009231,cursos de posgrado,6
3008231,derecho ambiental,3
3009369,diseno ambiental,3
3010660,economia de recursos naturales y del medio ambiente,3
